customer_id,customer_name,country,segment,signup_date
C1000,Customer 001,Czechia,Corporate,2024-07-06
C1001,Customer 002,Germany,Corporate,2025-06-23
C1002,Customer 003,Czechia,Consumer,2024-06-11
C1003,Customer 004,Germany,Consumer,2025-06-01
C1004,Customer 005,Poland,Consumer,2024-10-27
C1005,Customer 006,Austria,Consumer,2024-05-31
C1006,Customer 007,Czechia,Consumer,2024-08-05
C1007,Customer 008,poland,Consumer,2024-12-11
C1008,Customer 009,Poland,Consumer,2025-05-12
C1009,Customer 010,Germany,Corporate,2025-01-28
C1010,Customer 011,Poland,Consumer,2025-08-29
C1011,Customer 012,Austria,Small Business,2025-07-18
C1012,Customer 013,Germany,Corporate,2025-05-04
C1013,Customer 014,Czechia,Consumer,2025-01-27
C1014,Customer 015,Germany,Corporate,2024-07-07
C1015,Customer 016,Poland,Consumer,2024-09-25
C1016,Customer 017,Germany,Small Business,2024-03-18
C1017,Customer 018,Poland,Consumer,2024-08-31
C1018,Customer 019,Czechia,Corporate,2025-08-25
C1019,Customer 020,Germany,Consumer,2024-10-03
C1020,Customer 021,Czechia,Consumer,2024-03-14
C1021,Customer 022,Poland,Consumer,2025-02-27
C1022,Customer 023,Austria,Small Business,2025-09-17
C1023,Customer 024,Austria,Corporate,2025-07-17
C1024,Customer 025,Czechia,Consumer,2024-06-27
C1025,Customer 026,Poland,Consumer,2024-10-22
C1026,Customer 027,Germany,Consumer,2024-12-11
C1027,Customer 028,Poland,Consumer,2024-06-10
C1028,Customer 029,Poland,Consumer,2024-06-23
C1029,Customer 030,Germany,Consumer,2024-06-02
C1030,Customer 031,Czechia,Small Business,2025-10-08
C1031,Customer 032, Germany ,Small Business,2025-04-29
C1032,Customer 033,Poland,Consumer,2025-06-30
C1033,Customer 034,Poland,Corporate,2025-06-14
C1034,Customer 035,Germany,Consumer,2025-09-15
C1035,Customer 036,Poland,Corporate,2024-03-09
C1036,Customer 037,Poland,Consumer,2025-07-27
C1037,Customer 038,Germany,Corporate,2024-02-13
C1038,Customer 039,Poland,Corporate,2024-11-05
C1039,Customer 040,Germany,Corporate,2025-01-21
C1040,Customer 041,Germany,Consumer,2024-08-20
C1041,Customer 042,Czechia,Small Business,2024-04-05
C1042,Customer 043,Czechia,Consumer,2024-05-04
C1043,Customer 044,Poland,Consumer,2025-06-20
C1044,Customer 045,Czechia,Corporate,2024-07-26
C1045,Customer 046,Czechia,Consumer,2024-07-20
C1046,Customer 047,Poland,Small Business,2025-08-23
C1047,Customer 048,Poland,Small Business,2024-04-03
C1048,Customer 049,Germany,Consumer,2025-08-17
C1049,Customer 050,Poland,Small Business,2025-08-21
C1050,Customer 051,Poland,Consumer,2025-01-24
C1051,Customer 052,Poland,Consumer,2024-04-17
C1052,Customer 053,Czechia,Consumer,2024-04-11
C1053,Customer 054,Germany,Small Business,2024-07-04
C1054,Customer 055,Czechia,,2025-01-10
C1055,Customer 056,Czechia,Consumer,2024-04-09
C1056,Customer 057,Germany,Consumer,2024-10-23
C1057,Customer 058,Germany,Small Business,2024-03-16
C1058,Customer 059,Poland,Small Business,2024-12-17
C1059,Customer 060,Poland,Corporate,2024-01-14
C1060,Customer 061,Germany,Small Business,2025-04-05
C1061,Customer 062,Germany,Small Business,2024-02-06
C1062,Customer 063,Germany,Consumer,2024-05-06
C1063,Customer 064,Czechia,Consumer,2024-04-23
C1064,Customer 065,Germany,Corporate,2025-06-24
C1065,Customer 066,Germany,Corporate,2024-02-04
C1066,Customer 067,Germany,Consumer,2024-10-06
C1067,Customer 068,Poland,Consumer,2025-01-19
C1068,Customer 069,Poland,Corporate,2024-12-01
C1069,Customer 070,Germany,Consumer,2025-03-18
C1070,Customer 071,Poland,Small Business,2025-06-06
C1071,Customer 072,Poland,Consumer,2024-09-12
C1072,Customer 073,Czechia,Consumer,2025-06-22
C1073,Customer 074,Poland,Small Business,2024-07-25
C1074,Customer 075,Poland,Consumer,2025-10-01
C1075,Customer 076,Poland,Consumer,2024-11-23
C1076,Customer 077,Poland,Corporate,2025-04-23
C1077,Customer 078,Germany,Small Business,2025-07-22
C1078,Customer 079,Germany,Consumer,2025-05-30
C1079,Customer 080,Czechia,Consumer,2025-07-07
C1080,Customer 081,Germany,Corporate,2024-12-14
C1081,Customer 082,Poland,Small Business,2024-01-29
C1082,Customer 083,Czechia,Consumer,2024-11-16
C1083,Customer 084,Poland,Consumer,2024-04-27
C1084,Customer 085,Poland,Consumer,2025-07-31
C1085,Customer 086,Poland,Consumer,2024-06-02
C1086,Customer 087,Czechia,Consumer,2024-05-28
C1087,Customer 088,Germany,Corporate,2024-06-11
C1088,Customer 089,Poland,Consumer,2025-02-21
C1089,Customer 090,Germany,Consumer,2025-01-06
C1090,Customer 091,Poland,Corporate,2025-09-08
C1091,Customer 092,Germany,Corporate,2024-09-27
C1092,Customer 093,Germany,Consumer,2024-07-02
C1093,Customer 094,Poland,Small Business,2024-02-02
C1094,Customer 095,Poland,Corporate,2024-01-05
C1095,Customer 096,Germany,Corporate,2024-08-30
C1096,Customer 097,Poland,Consumer,2025-08-24
C1097,Customer 098,Poland,Consumer,2024-12-06
C1098,Customer 099,Poland,Small Business,2025-08-03
C1099,Customer 100,Austria,Consumer,2024-03-07
C1100,Customer 101,Austria,Consumer,2024-03-01
C1101,Customer 102,Germany,Consumer,2025-06-25
C1102,Customer 103,Poland,Corporate,2024-03-10
C1103,Customer 104,Austria,Small Business,2024-02-03
C1104,Customer 105,Czechia,Consumer,2024-09-19
C1105,Customer 106,Czechia,Small Business,2025-08-24
C1106,Customer 107,Germany,Consumer,2025-03-24
C1107,Customer 108,Poland,Corporate,2024-03-05
C1108,Customer 109,Poland,Corporate,2025-06-28
C1109,Customer 110,Austria,Consumer,2025-07-02
C1110,Customer 111,Germany,Consumer,2025-06-04
C1111,Customer 112,Poland,Consumer,2025-08-09
C1112,Customer 113,Poland,Small Business,2024-06-04
C1113,Customer 114,Germany,Corporate,2025-09-28
C1114,Customer 115,Poland,Small Business,2024-07-27
C1115,Customer 116,Czechia,Small Business,2025-06-05
C1116,Customer 117,Czechia,Consumer,2025-01-11
C1117,Customer 118,Czechia,Corporate,2025-05-21
C1118,Customer 119,Germany,Consumer,2025-02-12
C1119,Customer 120,Germany,Consumer,2025-02-21
C1018,Customer 019,Czechia,Corporate,2025-08-25
