line_id,order_id,product_id,quantity,discount_pct
L00001,O50000,P2007,1,0.0
L00002,O50000,P2003,5,0.0
L00003,O50001,P2011,1,0.15
L00004,O50001,P2011,5,0.0
L00005,O50001,P2005,2,0.2
L00006,O50002,P2011,4,0.0
L00007,O50003,P2010,2,0.0
L00008,O50003,P2002,5,0.0
L00009,O50003,P2014,1,0.1
L00010,O50004,P2015,2,0.0
L00011,O50004,P2012,2,0.0
L00012,O50004,P2008,1,0.05
L00013,O50004,P2005,4,0.05
L00014,O50005,P2010,6,0.2
L00015,O50005,P2013,1,0.0
L00016,O50006,P2003,5,0.0
L00017,O50007,P2005,2,0.1
L00018,O50007,P2013,3,0.15
L00019,O50008,P2001,6,0.0
L00020,O50008,P2002,5,0.0
L00021,O50008,P2002,3,0.0
L00022,O50008,P2015,1,0.05
L00023,O50009,P2007,3,0.05
L00024,O50010,P2006,2,0.0
L00025,O50011,P2012,3,0.1
L00026,O50011,P2004,0,0.0
L00027,O50011,P2009,4,0.0
L00028,O50011,P2005,2,0.0
L00029,O50012,P2011,6,0.1
L00030,O50012,P2005,1,0.15
L00031,O50012,P2001,5,0.0
L00032,O50013,P2005,1,0.0
L00033,O50013,P2009,6,0.0
L00034,O50013,P2008,4,0.0
L00035,O50013,P2005,5,0.05
L00036,O50014,P2008,6,0.0
L00037,O50015,P2009,5,0.0
L00038,O50015,P2005,3,0.15
L00039,O50015,P2002,4,0.1
L00040,O50015,P2012,2,0.0
L00041,O50016,P2006,3,0.0
L00042,O50017,P2007,2,0.0
L00043,O50017,P2012,2,0.0
L00044,O50017,P2001,1,0.15
L00045,O50018,P2010,4,0.1
L00046,O50019,P2015,6,0.0
L00047,O50020,P2003,4,0.0
L00048,O50020,P2001,2,0.2
L00049,O50021,P2005,1,0.1
L00050,O50021,P2002,1,0.05
L00051,O50021,P2006,5,0.0
L00052,O50021,P2009,1,0.05
L00053,O50022,P2015,6,0.0
L00054,O50023,P2008,1,0.05
L00055,O50023,P2010,4,0.1
L00056,O50024,P2012,3,0.1
L00057,O50024,P2014,2,0.05
L00058,O50024,P2004,5,0.0
L00059,O50025,P2009,6,0.1
L00060,O50025,P2014,6,0.0
L00061,O50026,P2009,6,0.0
L00062,O50027,P2006,2,0.05
L00063,O50027,P2003,1,0.2
L00064,O50028,P2002,1,0.1
L00065,O50028,P2003,6,0.15
L00066,O50028,P2002,6,0.0
L00067,O50028,P2011,1,0.1
L00068,O50029,P2004,5,0.15
L00069,O50029,P2014,5,0.05
L00070,O50029,P2008,2,0.1
L00071,O50030,P2015,1,0.1
L00072,O50031,P2007,3,0.1
L00073,O50031,P2006,6,0.0
L00074,O50031,P2001,2,0.05
L00075,O50032,P2008,6,0.0
L00076,O50032,P2009,3,0.05
L00077,O50033,P2012,4,0.1
L00078,O50033,P2010,5,0.1
L00079,O50034,P2012,5,0.05
L00080,O50034,P2010,1,0.0
L00081,O50035,P2002,2,0.05
L00082,O50035,P2015,6,0.1
L00083,O50035,P2005,1,0.05
L00084,O50036,P2004,1,0.15
L00085,O50037,P2006,4,0.05
L00086,O50037,P2005,3,0.0
L00087,O50037,P2013,6,0.1
L00088,O50038,P2008,2,0.0
L00089,O50038,P2006,5,0.0
L00090,O50039,P2003,-2,0.2
L00091,O50040,P2008,6,0.0
L00092,O50040,P2004,2,0.15
L00093,O50041,P2013,3,0.1
L00094,O50041,P2013,5,0.0
L00095,O50042,P2010,6,0.0
L00096,O50042,P2015,2,0.15
L00097,O50042,P2001,6,0.05
L00098,O50042,P2014,6,0.0
L00099,O50043,P2012,5,0.05
L00100,O50043,P2003,1,0.1
L00101,O50043,P2012,6,0.15
L00102,O50044,P2005,6,0.2
L00103,O50044,P2001,4,0.05
L00104,O50044,P2015,5,0.0
L00105,O50045,P2011,3,0.0
L00106,O50045,P2004,1,0.0
L00107,O50045,P2005,6,0.0
L00108,O50046,P2004,6,0.0
L00109,O50047,P2006,1,0.05
L00110,O50047,P2013,3,0.05
L00111,O50047,P2005,6,0.0
L00112,O50048,P2014,1,0.15
L00113,O50048,P2014,2,0.05
L00114,O50048,P2010,4,0.1
L00115,O50048,P2010,4,0.2
L00116,O50049,P2014,4,0.1
L00117,O50050,P2006,2,0.05
L00118,O50051,P2005,4,0.0
L00119,O50052,P2006,5,0.05
L00120,O50052,P2004,6,0.2
L00121,O50052,P2006,3,0.0
L00122,O50053,P2015,2,0.05
L00123,O50054,P2008,1,0.2
L00124,O50055,P2005,2,0.1
L00125,O50055,P2015,1,0.0
L00126,O50055,P2004,3,0.0
L00127,O50056,P2010,4,0.1
L00128,O50056,P2011,2,0.05
L00129,O50056,P2008,2,0.0
L00130,O50056,P2006,5,0.1
L00131,O50057,P2002,6,0.0
L00132,O50058,P2009,4,0.15
L00133,O50058,P2012,3,0.05
L00134,O50058,P2009,2,0.15
L00135,O50059,P2014,1,0.15
L00136,O50059,P2006,1,0.15
L00137,O50059,P2006,1,0.0
L00138,O50060,P2001,4,0.0
L00139,O50060,P2007,2,0.0
L00140,O50061,P2002,3,0.1
L00141,O50062,P2014,5,0.0
L00142,O50062,P2010,5,0.15
L00143,O50062,P2005,3,0.0
L00144,O50063,P2015,6,0.2
L00145,O50064,P2007,6,0.0
L00146,O50064,P2011,5,0.0
L00147,O50065,P2002,1,0.05
L00148,O50065,P2013,2,0.1
L00149,O50065,P2001,3,0.15
L00150,O50065,P2014,5,0.05
L00151,O50066,P2012,1,0.05
L00152,O50066,P2005,2,0.15
L00153,O50067,P2009,5,0.15
L00154,O50068,P2014,6,0.0
L00155,O50068,P2015,4,0.05
L00156,O50069,P2003,3,0.05
L00157,O50069,P2006,3,0.0
L00158,O50069,P2011,2,0.0
L00159,O50069,P2009,3,0.15
L00160,O50070,P2010,5,0.0
L00161,O50070,P2008,2,0.0
L00162,O50070,P2007,2,0.0
L00163,O50071,P2011,5,0.1
L00164,O50071,P2015,4,0.15
L00165,O50071,P2004,2,0.15
L00166,O50071,P2006,5,0.1
