order_id,customer_id,order_date,status,sales_channel
O50000,C1021,2025-07-11,Returned,Online
O50001,C1088,2025-05-08,Completed,Direct
O50002,C1004,2025-10-12,Completed,Marketplace
O50003,C1024,2025-11-08,Completed,Marketplace
O50004,C1071,2025-11-26,Completed,Direct
O50005,C1083,2025-04-20,Cancelled,Online
O50006,C1060,2025-09-17,Completed,Online
O50007,C1103,2025-08-04,Completed,Direct
O50008,C1110,2025-06-13,Completed,Online
O50009,C1015,2025-05-25,Completed,Marketplace
O50010,C1114,2025-02-11,Completed,Marketplace
O50011,C1073,2025-04-11,Completed,Online
O50012,C1076,2025-07-20,Completed,Online
O50013,C1011,2025-11-20,Completed,Online
O50014,C1074,2025-11-13,Cancelled,Online
O50015,C1087,2025-03-10,Completed,Online
O50016,C1069,2025-09-05,Completed,Online
O50017,C1010,2025-01-31,Completed,Marketplace
O50018,C1062,2025-09-04,Returned,Direct
O50019,C1112,2025-05-05,Completed,Direct
O50020,C1086,2025-06-14,Completed,Online
O50021,C1016,2025-09-19,Completed,Online
O50022,C1115,2025-06-05,Completed,Online
O50023,C1115,2025-10-22,Completed,Online
O50024,C1020,2025-07-14,Completed,Direct
O50025,C1096,2025-12-31,Completed,Online
O50026,C1048,2025-08-21,Cancelled,Online
O50027,C1071,2025-04-19,Completed,Direct
O50028,C1053,2025-10-10,Completed,Online
O50029,C1093,2025-05-29,Completed,Online
O50030,C1119,2025-07-14,Completed,Online
O50031,C1095,2025-02-19,Completed,Marketplace
O50032,C1111,2025-02-13,Completed,Marketplace
O50033,C1113,2025-07-29,Returned,Online
O50034,C1010,2025-03-10,Completed,Direct
O50035,C1030,2025-12-31,Completed,Direct
O50036,C1086,2025-11-09,Completed,Direct
O50037,C1070,2025-09-13,Cancelled,Online
O50038,C1006,2025-09-26,Completed,Online
O50039,C1011,2025-08-06,Completed,Direct
O50040,C1062,2025-01-23,Cancelled,Online
O50041,C1073,2025-05-24,Completed,Marketplace
O50042,C1020,2025-06-30,Returned,Marketplace
O50043,C1020,2025-12-01,Completed,Online
O50044,C9999,2025-03-22,Completed,Marketplace
O50045,C1067,2025-07-01,Completed,Direct
O50046,C1000,2025-05-06,Returned,Marketplace
O50047,C1068,2025-02-19,Completed,Online
O50048,C1057,2025-02-07,Completed,Direct
O50049,C1055,2025-05-14,Completed,Online
O50050,C1081,2025-01-31,Completed,Marketplace
O50051,C1062,2025-01-25,Completed,Direct
O50052,C1087,2025-05-09,Completed,Marketplace
O50053,C1091,2025-03-15,Cancelled,Online
O50054,C1110,2025-07-22,Completed,Online
O50055,C1095,2025-01-07,Completed,Online
O50056,C1062,2025-04-21,Completed,Online
O50057,C1059,2025-06-15,Completed,Online
O50058,C1028,2025-12-18,Completed,Marketplace
O50059,C1071,2025-08-20,Completed,Online
O50060,C1016,2025-11-18,Completed,Marketplace
O50061,C1111,2025-05-06,Completed,Direct
O50062,C1101,2025-06-14,Completed,Online
O50063,C1014,2025-06-03,Completed,Marketplace
O50064,C1094,2025-11-20,Completed,Marketplace
O50065,C1014,2025-12-17,Completed,Online
O50066,C1086,2025-12-18,Completed,Online
O50067,C1010,2025-10-02,Completed,Marketplace
O50068,C1058,2025-07-03,Cancelled,Direct
O50069,C1078,2025-07-17,Completed,Marketplace
O50070,C1087,2025-12-24,Completed,Direct
O50071,C1050,2025-04-14,Completed,Direct
O50072,C1110,2025-05-07,Completed,Online
O50073,C1092,2025-11-24,Completed,Marketplace
O50074,C1024,2025-05-22,Completed,Online
O50075,C1080,2025-03-27,Completed,Direct
O50076,C1087,2025-07-24,Cancelled,Online
O50077,C1040,2025-04-29,Completed,Online
O50078,C1088,2025-11-22,Completed,Direct
O50079,C1107,2025-11-28,Completed,Online
O50080,C1098,2025-04-22,Returned,Marketplace
O50081,C1091,2025-07-13,Completed,Online
O50082,C1076,2025-12-26,Completed,Direct
O50083,C1032,2025-09-28,Completed,Direct
O50084,C1095,2025-03-20,Completed,Online
O50085,C1043,2025-08-04,Returned,Marketplace
O50086,C1063,2025-08-15,Completed,Online
