product_id,product_name,category,unit_cost,unit_price
P2001,Wireless Headphones,Electronics,205.19,274.43
P2002,Mechanical Keyboard,Electronics,144.94,229.62
P2003,27in Monitor,Electronics,224.68,348.44
P2004,Webcam,Electronics,107.5,179.06
P2005,USB-C Hub,electronics,78.08,104.69
P2006,Standing Desk,Home Office,130.51,198.5
P2007,Office Chair,Home Office,69.68,103.75
P2008,Desk Lamp,Home Office,102.87,150.49
P2009,Laptop Stand,Home Office,106.11,179.93
P2010,Footrest,Home Office,85.63,159.85
P2011,Coffee Maker,Kitchen,239.25,373.85
P2012,Blender,Kitchen,93.43,
P2013,Electric Kettle,Kitchen,222.44,372.4
P2014,Toaster,Kitchen,-8.5,337.6
P2015,Kitchen Scale,Kitchen,168.96,242.85
